category,rank,name,url,description,stars,forks,language,topics,score,star_velocity,why_recommended
educational,10,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",78893,18264,Jupyter Notebook,"data-science, education, machine-learning, machine-learning-algorithms, machinelearning",0.9797408270238788,45.94816540477577,"Highly popular (78,893 stars); Rising star; Recently updated; High quality; Has license"
production_ready,1,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,376842,65385,Python,"books, education, hacktoberfest, list, resource",1.0,85.31627801675346,"Highly popular (376,842 stars); Rising star; Recently updated; High quality; Has license"
production_ready,2,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,326471,53163,Python,"design, design-patterns, design-system, development, interview",1.0,102.56707508639649,"Highly popular (326,471 stars); Rising star; Recently updated; High quality; Has license"
production_ready,3,vinta/awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",269349,26695,Python,"awesome, collections, python, python-framework, python-library",1.0,64.77849927849928,"Highly popular (269,349 stars); Rising star; Recently updated; High quality; Has license"
production_ready,4,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,213089,49252,Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven",1.0,62.526115023474176,"Highly popular (213,089 stars); Rising star; Recently updated; High quality; Has license"
production_ready,5,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",179693,46122,Python,"ai, artificial-intelligence, autonomous-agents, gpt-4, llama-api",1.0,184.48973305954826,"Highly popular (179,693 stars); Rising star; Recently updated; High quality; Has license"
production_ready,6,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,158202,29366,Python,"ai, ai-art, deep-learning, diffusion, gradio",1.0,134.06949152542373,"Highly popular (158,202 stars); Rising star; Recently updated; High quality; Has license"
production_ready,7,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",152518,31144,Python,"audio, deep-learning, deepseek, gemma, glm",1.0,59.276331130975514,"Highly popular (152,518 stars); Rising star; Recently updated; High quality; Has license"
production_ready,8,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,138223,7987,Python,"agents, chatgpt, generative-ai, large-language-models, multiagent",1.0,136.85445544554455,"Highly popular (138,223 stars); Rising star; Recently updated; High quality; Has license"
production_ready,9,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,135064,10849,Python,"cli, downloader, python, sponsorblock, youtube-dl",1.0,73.20542005420054,"Highly popular (135,064 stars); Rising star; Recently updated; High quality; Has license"
production_ready,10,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",93588,10557,Python,"ai, comfy, comfyui, python, pytorch",1.0,90.68604651162791,"Highly popular (93,588 stars); Rising star; Recently updated; High quality; Has license"
